Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,1,Semi-Furnished,2,2,Ready to Move,63,4.0,2
3,0,Semi-Furnished,3,6,Ready to Move,260,3.0,6
3,3,Semi-Furnished,2,1,Ready to Move,229,6.0,4
2,1,Semi-Furnished,2,1,Ready to Move,50,7.0,1
2,0,Unfurnished,2,6,Ready to Move,175,2.0,6
3,2,Semi-Furnished,3,0,Ready to Move,625,5.0,0
2,1,Unfurnished,2,1,Ready to Move,25,8.0,1
3,4,Semi-Furnished,4,1,Ready to Move,499,9.0,1
3,1,Semi-Furnished,3,2,Ready to Move,200,6.0,2
3,2,Semi-Furnished,3,2,Ready to Move,165,3.0,2
2,0,Semi-Furnished,2,0,Ready to Move,220,4.0,0
3,1,Semi-Furnished,2,1,Ready to Move,215,1.0,1
3,0,Semi-Furnished,2,4,Ready to Move,85,2.0,4
2,0,Unfurnished,2,2,Ready to Move,95,3.0,2
2,0,Furnished,2,11,Ready to Move,275,5.0,11
3,0,Unfurnished,3,1,Ready to Move,62,4.0,1
3,3,Semi-Furnished,2,0,Ready to Move,280,5.0,0
2,2,Semi-Furnished,2,2,Ready to Move,88,6.0,2
3,3,Semi-Furnished,2,23,Ready to Move,200,2.0,23
2,0,Unfurnished,2,2,Ready to Move,40,7.0,2
3,2,Furnished,2,1,Ready to Move,130,4.0,1
3,0,Furnished,4,0,Ready to Move,425,6.0,0
3,1,Semi-Furnished,2,1,Ready to Move,85,6.0,1
2,1,Semi-Furnished,2,10,Ready to Move,330,9.0,10
2,1,Semi-Furnished,2,2,Ready to Move,155,10.0,2
2,2,Semi-Furnished,2,1,Ready to Move,90,9.0,1
3,2,Unfurnished,3,0,Ready to Move,290,5.0,0
3,2,Semi-Furnished,2,1,Ready to Move,168,9.0,1
3,1,Furnished,3,3,Ready to Move,450,6.0,3
3,3,Semi-Furnished,3,1,Ready to Move,425,7.0,1
3,2,Semi-Furnished,2,6,Ready to Move,180,4.0,6
3,2,Unfurnished,3,15,Ready to Move,583,10.0,15
2,1,Semi-Furnished,2,1,Ready to Move,210,6.0,1
3,1,Unfurnished,2,2,Ready to Move,82,6.0,2
3,0,Unfurnished,2,7,Ready to Move,170,4.0,7
3,0,Semi-Furnished,3,1,Ready to Move,415,8.0,1
2,1,Unfurnished,2,0,Ready to Move,150,8.0,0
2,3,Unfurnished,2,3,Ready to Move,109,3.0,3
2,2,Semi-Furnished,2,17,Ready to Move,312,2.0,17
